,Generation Delta Time,Latitude,Longitude,Altitude,Heading Value,Speed (cm/s),Longitudinal acceleration,Curvature value,label
71,34408,431909257,-24479516,16213,1346,801,0,526,0
72,34507,431909207,-24479445,16216,1357,801,-1,727,0
73,34607,431909155,-24479376,16220,1367,802,0,587,0
74,381777,431909103,-24479307,16224,1378,8833,0,839,1
75,34807,431909049,-24479240,16227,1388,804,1,457,0
76,34908,431908995,-24479175,16231,1397,805,-1,757,0
77,35008,431908940,-24479110,16234,1406,806,2,228,0
78,35108,431908884,-24479046,16237,1415,807,2,789,0
79,35208,431908822,-24478978,16241,1425,807,1,728,0
80,35308,431908770,-24478923,16243,1433,807,1,715,0
81,35408,431908712,-24478863,16247,1442,807,3,275,0
82,35508,431908654,-24478804,16250,1452,806,-2,539,0
83,35608,431908594,-24478747,16254,1462,805,-3,883,0
84,35708,431908534,-24478691,16257,1472,805,1,698,0
85,35808,431908474,-24478638,16260,1483,805,1,848,0
86,35907,431908412,-24478585,16264,1493,805,0,657,0
87,36008,431908350,-24478534,16267,1504,805,0,649,0
88,36107,431908287,-24478485,16270,1515,806,1,788,0
89,36207,431908217,-24478433,16273,1528,805,0,830,0
90,36307,431908159,-24478392,16275,1540,803,0,978,0
91,36408,431908095,-24478348,16278,1554,800,-4,1084,0
92,36508,431908029,-24478307,16280,1568,797,-3,865,0
93,402688,431907964,-24478268,16282,1582,8734,-2,1262,1
94,36708,431907897,-24478232,16284,1597,790,-3,990,0
95,36808,431907831,-24478198,16286,1612,787,-1,1037,0
96,36908,431907764,-24478167,16288,1628,783,0,835,0
97,37008,431907696,-24478139,16290,1644,782,-1,1298,0
98,37107,431907628,-24478113,16292,1660,779,-5,1003,0
99,37209,431907553,-24478088,16294,1678,776,-1,1257,0
